node_name	community
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	15
18	17
19	16
20	8
21	18
22	16
23	19
24	20
25	21
26	11
27	11
28	22
29	23
30	20
31	24
32	25
33	26
34	27
35	28
36	29
37	30
38	24
39	31
40	29
41	14
42	27
43	32
44	9
45	33
46	34
47	35
48	29
49	36
50	13
51	37
52	38
53	39
54	27
55	40
56	41
57	42
58	43
59	44
60	45
61	46
62	47
63	37
64	48
65	29
66	14
67	49
68	17
69	33
70	50
71	51
72	33
73	45
74	52
75	53
76	22
77	54
78	12
79	33
80	55
81	48
82	56
83	57
84	26
85	58
86	49
87	59
88	28
89	60
90	61
91	12
92	62
93	36
94	27
95	63
96	64
97	2
98	65
99	29
100	57
101	66
102	67
103	68
104	47
105	69
106	37
107	33
108	4
109	5
110	36
111	70
112	2
113	52
114	29
115	47
116	13
117	71
118	26
119	19
120	61
121	48
122	72
123	73
124	20
125	67
126	14
127	22
128	3
129	36
130	21
131	74
132	7
133	46
134	75
135	76
136	77
137	70
138	66
139	13
140	23
141	52
142	4
143	78
144	24
145	41
146	13
147	79
148	67
149	80
150	30
151	45
152	26
153	7
154	22
155	81
156	69
157	74
158	82
159	52
160	48
161	9
162	83
163	61
164	64
165	30
166	67
167	45
168	48
169	84
170	69
171	85
172	86
173	40
174	36
175	59
176	87
177	30
178	88
179	4
180	89
181	34
182	11
183	53
184	32
185	36
186	23
187	3
188	42
189	23
190	37
191	68
192	20
193	90
194	8
195	91
196	23
197	6
198	69
199	58
200	63
201	92
202	40
203	76
204	80
205	53
206	26
207	5
208	29
209	1
210	50
211	14
212	69
213	93
214	70
215	59
216	35
217	44
218	69
219	94
220	56
221	95
222	96
223	84
224	37
225	30
226	38
227	80
228	50
229	59
230	91
231	93
232	52
233	97
234	73
235	81
236	81
237	60
238	82
239	58
240	49
241	98
242	9
243	56
244	8
245	99
246	100
247	41
248	101
249	62
250	93
251	7
252	70
253	102
254	60
255	82
256	61
257	9
258	81
259	14
260	77
261	23
262	103
263	2
264	73
265	39
266	46
267	23
268	34
269	8
270	104
271	55
272	90
273	16
274	46
275	61
276	76
277	8
278	53
279	22
280	64
281	4
282	105
283	21
284	34
285	69
286	51
287	89
288	33
289	106
290	18
291	11
292	107
293	11
294	108
295	104
296	12
297	52
298	38
299	3
300	52
301	35
302	79
303	85
304	65
305	13
306	46
307	106
308	83
309	34
310	12
311	82
312	30
313	82
314	19
315	5
316	4
317	109
318	16
319	41
320	12
321	3
322	109
323	84
324	90
325	29
326	16
327	3
328	52
329	51
330	48
331	7
332	35
333	62
334	101
335	37
336	30
337	27
338	77
339	13
340	35
341	95
342	3
343	2
344	12
345	96
346	108
347	49
348	77
349	43
350	15
351	9
352	97
353	72
354	6
355	9
356	62
357	25
358	69
359	89
360	79
361	72
362	110
363	9
364	95
365	24
366	63
367	7
368	110
369	30
370	65
371	82
372	17
373	49
374	90
375	101
376	60
377	34
378	16
379	39
380	55
381	34
382	77
383	99
384	27
385	30
386	83
387	41
388	61
389	86
390	26
391	30
392	40
393	36
394	59
395	47
396	53
397	111
398	68
399	95
400	1
401	70
402	37
403	83
404	89
405	36
406	39
407	76
408	94
409	46
410	74
411	18
412	13
413	56
414	68
415	33
416	9
417	98
418	61
419	23
420	6
421	112
422	7
423	4
424	60
425	24
426	98
427	83
428	16
429	40
430	24
431	46
432	15
433	20
434	76
435	28
436	108
437	69
438	74
439	105
440	41
441	42
442	88
443	25
444	33
445	47
446	54
447	37
448	47
449	3
450	80
451	58
452	33
453	28
454	64
455	43
456	55
457	13
458	98
459	36
460	5
461	81
462	80
463	5
464	41
465	23
466	59
467	56
468	21
469	41
470	52
471	68
472	20
473	68
474	8
475	46
476	44
477	51
478	22
479	51
480	60
481	45
482	8
483	91
484	52
485	11
486	95
487	77
488	73
489	96
490	69
491	94
492	113
493	20
494	103
495	98
496	80
497	30
498	113
499	101
500	69
501	97
502	43
503	67
504	41
505	53
506	20
507	113
508	18
509	80
510	98
511	61
512	108
513	52
514	100
515	47
516	36
517	15
518	20
519	35
520	43
521	66
522	64
523	98
524	58
525	80
526	71
527	33
528	18
529	91
530	22
531	77
532	33
533	5
534	8
535	23
536	19
537	47
538	11
539	88
540	82
541	53
542	73
543	109
544	27
545	74
546	8
547	76
548	82
549	31
550	42
551	101
552	89
553	56
554	44
555	98
556	70
557	76
558	48
559	112
560	20
561	16
562	8
563	70
564	25
