Start	End	Weight
71	575	0.6170777869410813
71	731	0.7961879009380937
610	741	0.9027691334486008
71	797	0.7456026901490986
741	1198	0.8546597843524069
575	1391	0.8057564664632082
610	1529	0.48039970570243895
71	1610	0.8629319593310356
1396	1671	0.6515859214123338
1396	1906	0.718777421163395
2026	2105	0.9958572143223137
575	2133	0.9340026550926268
2105	2150	0.7818476571701467
610	2282	0.5689370627515018
1657	2415	0.57433479744941
477	2419	0.4268179261125624
1469	2468	0.8305002595297992
1469	2605	0.9538359544239938
575	2815	0.4785384312272072
2690	3020	0.8850401577074081
1469	3063	0.7600315262097865
286	3083	0.5761103993281722
2105	3097	0.6226090174168348
575	3128	0.22127214493229985
2133	3142	0.9421744064893574
1198	3213	0.9691174170002341
1396	3213	0.8892141149844974
1154	3241	0.8873224202543497
2522	3267	0.34969414700753987
477	3338	0.6540053782518953
3338	3412	0.6658213902264833
329	3699	0.9858738793991506
329	3726	0.8660838126670569
1657	3726	0.954209633404389
3699	4054	0.7752996229100972
1088	4159	0.5459662859793752
2035	4159	0.9757562174927443
4054	4368	0.8004575858358294
1610	4382	0.9159197087865323
3083	4398	0.9718118605669588
71	4455	0.7278304437641054
3267	4455	0.5525508406572044
1568	4518	0.8977561732754111
2522	4518	0.9199683342594653
286	4532	0.9666042535100132
4218	4573	0.787373376544565
71	4723	0.7403198594693094
477	4782	0.920174038503319
4573	4782	0.9832014539279044
4054	4866	0.6459333014208823
3489	4993	0.41200825362466276
2026	5024	0.7243164768442512
329	5047	0.8054627859964967
4518	5054	0.9607828094158322
4866	5064	0.5727436814922839
797	5100	0.5601764293387532
2814	5142	0.6854543704539537
4993	5235	0.9868557516019791
5047	5235	0.8933847092557698
2026	5459	0.7484228014945984
1671	5616	0.7709074812009931
4518	5658	0.7835845835506916
3338	5753	0.5027168355882168
610	5783	0.9437978700734675
5156	5783	0.6591284067835659
477	6222	0.8045650091953576
2415	6306	0.780511122662574
2282	6341	0.8432697081007063
1469	6443	0.8735692857299
4532	6448	0.6930806862656027
1655	6457	0.5956148935947567
1154	6574	0.9695509322918952
2690	6700	0.7373063173145056
2026	6918	0.689055158989504
71	7133	0.7079002454411238
2419	7169	0.5673545871395618
5142	7169	0.8503574503120035
71	7369	0.8381355584133416
1703	7447	0.32180951884947717
2105	7464	0.8589573460631073
6457	7567	0.3460608427412808
71	7594	0.8804693773854524
1703	7594	0.7602150863967836
4656	7609	0.6409746892750263
329	7719	0.07787698600441217
4054	7796	0.6077960887923837
329	7965	0.40180185181088746
4782	8014	0.5510348645038903
741	8029	0.945694503840059
3213	8132	0.871963370591402
7953	8132	0.906277421163395
610	8345	0.9525425254832953
3063	8407	0.9203127885702997
3412	8528	0.9867997861001641
4656	8528	0.45993121108040214
2026	8745	0.24683356587775052
610	8810	0.4935251458082348
731	8818	0.23883795272558928
1655	8819	0.7435002326965332
5189	8888	0.8963512717746198
5658	8944	0.8644231630023569
2150	9144	0.5440929655451328
6443	9182	0.7736861386802047
2419	9268	0.4976166079286486
479	9274	0.876469778129831
1655	9588	0.3499272456392646
1657	9672	0.7182640659157187
71	9781	0.6349191155750304
8232	9834	0.6569149338174611
741	9863	0.12929645483382046
4368	9872	0.6341976562980562
8407	9897	0.7121333146933466
4266	10353	0.8520401164423674
71	10414	0.5060963346622884
2026	10496	0.24310824228450656
71	10589	0.8666206912603229
9274	10589	0.7397526290733367
1088	10602	0.3660605463664979
3063	10602	0.686159810051322
2026	10649	0.92148675955832
8810	10931	0.6051602298393846
1568	11028	0.9157053329981863
1657	11037	0.9278983473777771
7796	11091	0.2858143812045455
6306	11130	0.8962274072691798
1154	11184	0.7838777981232852
4782	11184	0.9257709924131632
3489	11298	0.9437201221007854
