startNodeName	endNodeName	weight	startType	endType
1	2	0.3950403940398246	1	2
1	3	0.7015053350478411	1	3
2	3	0.9263647301122546	2	3
1	4	0.3629574868828058	1	4
2	4	0.7858454016968608	2	4
1	5	0.6644057771191001	1	5
3	5	0.7161016759928316	3	5
1	6	0.48350424505770206	1	6
2	6	0.7669994875323027	2	6
2	7	0.40985792642459273	2	7
6	7	0.9080804781988263	6	7
6	8	0.4216075213626027	6	8
2	8	0.3327528303489089	2	8
6	9	0.11158964224159718	6	9
4	9	0.740796995582059	4	9
3	10	0.448822834296152	3	10
5	10	0.44140600273385644	5	10
2	11	0.9481209092773497	2	11
5	11	0.21221540705300868	5	11
4	12	0.07553047593683004	4	12
5	12	0.5378969758749008	5	12
9	13	0.6470958204008639	9	13
3	13	0.38191225938498974	3	13
1	14	0.22753221215680242	1	14
9	14	0.09397061541676521	9	14
11	15	0.1802712178323418	11	15
5	15	0.5914650792255998	5	15
12	16	0.026115935761481524	12	16
3	16	0.08981576352380216	3	16
5	17	0.24543708562850952	5	15
1	18	0.9433123210910708	1	17
5	18	0.3660468563903123	5	17
10	19	0.19732459355145693	10	16
9	19	0.007414659485220909	9	16
15	20	0.8503801242914051	15	8
13	20	0.6243257662281394	13	8
5	21	0.7228530573192984	5	18
1	21	0.6293836617842317	1	18
1	22	0.6929211509414017	1	16
12	23	0.7414861547295004	12	19
13	23	0.7012946887407452	13	19
8	24	0.45289800106547773	8	20
22	24	0.025099844904616475	16	20
16	25	0.747932045487687	16	21
20	25	0.1643041546922177	8	21
8	26	0.7356592393480241	8	11
5	27	0.5382831213064492	5	11
23	28	0.01499913795851171	19	22
3	28	0.7932527677621692	3	22
21	29	0.8308259700424969	18	23
4	29	0.4362263618968427	4	23
5	30	0.3312022443860769	5	20
29	31	0.08660161425359547	23	24
12	31	0.015507908072322607	12	24
1	32	0.5931017801631242	1	25
6	32	0.03194951033219695	6	25
1	33	0.20993407629430294	1	26
12	33	0.4493411697912961	12	26
31	34	0.2934275437146425	24	27
2	34	0.7417374199721962	2	27
1	35	0.7348736652638763	1	28
6	35	0.4874991490505636	6	28
12	36	0.704326183302328	12	29
34	36	0.8524536720942706	27	29
26	37	0.7392487965989858	11	30
23	37	0.14522222243249416	19	30
6	38	0.7671189443208277	6	24
37	38	0.6612680817488581	30	24
1	39	0.10525231738574803	1	31
34	39	0.8005591814871877	27	31
13	40	0.6745281468611211	13	29
3	40	0.7445138418115675	3	29
5	41	0.2021236855071038	5	14
2	42	0.5720776233356446	2	27
32	42	0.8212142416741699	25	27
31	43	0.6135615336243063	24	32
9	43	0.8995940943714231	9	32
6	44	0.6457091949414462	6	9
28	44	0.11741931410506368	22	9
4	45	0.566662382800132	4	33
22	45	0.1666774214245379	16	33
1	46	0.567194452509284	1	34
3	46	0.40954690147191286	3	34
9	47	0.7800938861910254	9	35
35	47	0.6338855852372944	28	35
33	48	0.021637557074427605	26	29
2	49	0.3636271795257926	2	36
38	49	0.04016932402737439	24	36
12	50	0.07288326369598508	12	13
9	50	0.2706483993679285	9	13
4	51	0.7141318251378834	4	37
3	51	0.45060109603218734	3	37
5	52	0.7228242985438555	5	38
