node_name	condition
49	Susceptible
93	Susceptible
110	Susceptible
129	Susceptible
174	Susceptible
185	Susceptible
393	Susceptible
405	Susceptible
459	Susceptible
516	Susceptible
569	Susceptible
586	Susceptible
857	Susceptible
1047	Susceptible
1099	Susceptible
1140	Infectious
1191	Susceptible
1202	Susceptible
1611	Susceptible
1636	Infectious
1637	Susceptible
1660	Susceptible
1712	Susceptible
1786	Susceptible
1793	Susceptible
2157	Susceptible
2365	Susceptible
2368	Susceptible
2436	Susceptible
2441	Susceptible
2467	Susceptible
2684	Susceptible
2875	Susceptible
2898	Susceptible
3081	Susceptible
3105	Susceptible
3205	Susceptible
3263	Susceptible
3317	Susceptible
3437	Susceptible
3563	Susceptible
3574	Susceptible
3593	Infectious
3647	Susceptible
3652	Susceptible
3698	Susceptible
3701	Susceptible
3759	Susceptible
3802	Susceptible
4170	Susceptible
4282	Susceptible
4285	Susceptible
4313	Susceptible
4394	Susceptible
4403	Susceptible
4488	Susceptible
4491	Susceptible
4690	Infectious
4736	Susceptible
4790	Susceptible
4806	Susceptible
5008	Susceptible
5052	Susceptible
5078	Susceptible
5145	Susceptible
5246	Susceptible
5519	Susceptible
5550	Infectious
5570	Infectious
5635	Susceptible
5646	Susceptible
5798	Susceptible
5836	Infectious
5840	Susceptible
5892	Susceptible
6187	Susceptible
6449	Susceptible
6533	Susceptible
6545	Susceptible
6692	Susceptible
6773	Susceptible
6817	Susceptible
6988	Susceptible
7066	Infectious
7596	Susceptible
7640	Infectious
7653	Susceptible
7848	Susceptible
7923	Susceptible
8061	Susceptible
8130	Susceptible
8174	Susceptible
8609	Susceptible
8679	Susceptible
8716	Susceptible
8720	Susceptible
8863	Susceptible
8877	Susceptible
8896	Infectious
9013	Susceptible
9025	Susceptible
9056	Susceptible
9094	Susceptible
9226	Susceptible
9290	Susceptible
9323	Susceptible
9369	Susceptible
9401	Susceptible
9664	Susceptible
9678	Susceptible
9868	Susceptible
9893	Susceptible
9978	Susceptible
9989	Susceptible
10034	Susceptible
10065	Susceptible
10120	Susceptible
10134	Susceptible
10549	Susceptible
10683	Susceptible
10903	Susceptible
10958	Susceptible
11006	Susceptible
11118	Susceptible
11176	Susceptible
11399	Susceptible
11403	Susceptible
11636	Susceptible
11874	Susceptible
12032	Susceptible
12159	Susceptible
12193	Susceptible
12298	Infectious
12352	Susceptible
12358	Susceptible
12434	Susceptible
12642	Susceptible
12657	Susceptible
12686	Susceptible
12725	Susceptible
12749	Susceptible
12798	Susceptible
12848	Susceptible
12870	Susceptible
12904	Susceptible
12982	Susceptible
13007	Susceptible
13063	Susceptible
13169	Susceptible
13177	Susceptible
13250	Susceptible
13270	Susceptible
13286	Susceptible
13371	Susceptible
13503	Susceptible
13607	Susceptible
13620	Susceptible
13621	Susceptible
13682	Susceptible
13784	Infectious
14028	Infectious
14225	Susceptible
14253	Susceptible
14336	Susceptible
14346	Susceptible
14387	Susceptible
14416	Susceptible
14620	Susceptible
14861	Susceptible
15030	Susceptible
15041	Susceptible
15342	Infectious
15356	Susceptible
15415	Susceptible
15469	Susceptible
15489	Susceptible
15513	Susceptible
15750	Susceptible
15777	Susceptible
15949	Susceptible
15990	Susceptible
16262	Susceptible
16345	Infectious
16416	Susceptible
16462	Susceptible
16816	Susceptible
16823	Susceptible
16978	Susceptible
17041	Susceptible
17221	Susceptible
17242	Susceptible
17268	Susceptible
17293	Infectious
17345	Susceptible
17475	Susceptible
17637	Susceptible
17680	Susceptible
17820	Susceptible
17938	Infectious
18002	Susceptible
18030	Infectious
18139	Susceptible
18275	Susceptible
18394	Susceptible
18421	Susceptible
18535	Susceptible
18760	Susceptible
19035	Susceptible
19045	Susceptible
19176	Susceptible
19289	Susceptible
19342	Susceptible
19355	Susceptible
19529	Susceptible
19629	Susceptible
19695	Susceptible
19844	Susceptible
20007	Susceptible
20103	Susceptible
20255	Susceptible
20303	Susceptible
20345	Susceptible
20373	Susceptible
20453	Susceptible
20549	Susceptible
20560	Susceptible
20676	Susceptible
20787	Susceptible
20833	Susceptible
20835	Susceptible
20888	Susceptible
20896	Susceptible
21019	Susceptible
21276	Susceptible
21306	Susceptible
21329	Infectious
21346	Susceptible
21644	Infectious
21659	Susceptible
21681	Susceptible
21698	Susceptible
21700	Infectious
21750	Susceptible
21895	Susceptible
21935	Susceptible
21974	Susceptible
22052	Susceptible
22363	Susceptible
22396	Susceptible
22487	Infectious
22602	Infectious
22645	Susceptible
22667	Susceptible
22678	Susceptible
22719	Infectious
22736	Infectious
22755	Susceptible
22829	Susceptible
22861	Susceptible
23032	Susceptible
23053	Susceptible
23271	Susceptible
23280	Susceptible
23401	Susceptible
23453	Susceptible
23468	Infectious
23542	Susceptible
23572	Susceptible
23696	Susceptible
23715	Susceptible
23738	Susceptible
23852	Susceptible
23855	Susceptible
23861	Susceptible
23905	Susceptible
23931	Susceptible
24073	Infectious
24135	Susceptible
24136	Susceptible
24472	Susceptible
24475	Susceptible
24487	Susceptible
24624	Susceptible
24821	Susceptible
24871	Infectious
25146	Susceptible
25198	Infectious
25201	Susceptible
25230	Susceptible
25244	Susceptible
25245	Susceptible
25248	Susceptible
25431	Susceptible
25466	Susceptible
25546	Infectious
25718	Susceptible
25806	Susceptible
25919	Susceptible
25972	Susceptible
26010	Susceptible
26152	Susceptible
26227	Susceptible
26393	Susceptible
26469	Susceptible
26680	Susceptible
26691	Susceptible
26830	Susceptible
26866	Susceptible
27084	Susceptible
27142	Susceptible
27652	Susceptible
27815	Susceptible
27848	Susceptible
27872	Susceptible
27874	Susceptible
28009	Susceptible
28301	Susceptible
28312	Susceptible
28390	Susceptible
28628	Susceptible
28663	Susceptible
28697	Susceptible
28748	Susceptible
28965	Susceptible
29030	Susceptible
29067	Susceptible
29087	Susceptible
29111	Susceptible
29269	Infectious
29380	Susceptible
29417	Infectious
29700	Susceptible
29705	Susceptible
29747	Susceptible
29812	Susceptible
29879	Susceptible
