name	value
213	0
231	0
250	0
584	0
1062	0
1118	0
1177	0
1195	0
1584	0
1754	0
1824	0
2244	0
2271	0
2444	0
2460	0
2501	0
2671	0
2795	0
2857	0
2880	1
2920	0
3049	0
3410	0
3533	1
3650	0
3793	0
3978	0
4046	0
4062	0
4177	0
4255	0
4454	0
4539	0
4547	0
4740	0
4882	0
4892	0
5109	0
5120	0
5464	0
5466	0
5745	0
5926	0
6203	0
6538	0
6732	0
6808	0
6933	0
7026	0
7195	0
7238	0
7302	0
7377	0
7504	0
7560	0
7730	0
7822	0
8124	0
8194	0
8265	0
8619	0
8748	0
8915	0
8977	1
9315	0
9890	0
9898	0
10145	0
10151	1
10455	0
10498	0
10631	0
10675	0
10694	0
10711	0
10786	1
10953	0
10987	0
11025	0
11185	0
11218	1
11227	0
11305	0
11314	0
11735	0
12300	0
12312	0
12504	0
12533	0
13090	0
13118	0
13146	0
13156	0
13165	0
13263	0
13532	0
13658	0
13699	0
13712	1
13734	0
13759	0
13956	1
14077	0
14184	0
14212	0
14255	0
14318	1
14507	0
14709	0
15079	1
15263	0
15438	0
15558	0
15572	0
16051	0
16333	0
16368	0
16369	0
16373	1
16546	0
16904	0
17043	0
17147	0
17227	0
17660	0
17677	1
17775	0
17812	0
18543	0
18599	0
19024	0
19141	0
19254	0
19384	0
19566	0
19754	0
19805	0
19824	0
19854	0
19894	1
19900	0
20012	0
20109	0
20665	0
20685	0
21093	0
21095	0
21162	0
21172	0
21204	0
21278	0
21558	0
21694	0
21848	0
21855	0
21933	0
22010	0
22029	0
22068	0
22291	0
22300	0
22556	0
22794	0
22913	0
22946	0
23078	0
23297	0
23324	0
23333	0
23372	0
23457	1
23688	0
23689	0
23732	0
23737	1
23741	0
23777	0
23899	0
25038	0
25794	1
25927	0
25936	0
26015	0
26017	0
26195	1
26343	0
26432	1
27214	0
27285	0
27372	0
27385	0
27475	0
28101	0
28152	0
28347	0
28495	1
28506	0
28524	0
28710	0
28745	0
28771	0
28985	0
29193	0
29415	0
29547	0
29893	0
29946	0
